age,education_level,work_experience_years,ielts_listening,ielts_reading,ielts_writing,ielts_speaking,settlement_funds,family_size,occupation_demand_level,has_positive_travel_history,has_job_offer,has_relative,spouse_language_proficient,has_local_work_experience,has_local_education,has_criminal_record,failed_medical_exam,has_misrepresentation,has_valid_passport,has_employment_gap,has_previous_refusal,is_eligible
25,Bachelors,4,6.5,7.7,8.4,7.2,39955,3,High,True,True,False,True,False,False,False,False,False,True,True,False,1
34,Masters,8,7.1,8.2,7.5,6.7,25084,1,Critical,True,False,True,True,True,True,False,False,False,True,False,False,1
27,PhD,6,8.2,7.8,7.4,7.9,62863,3,Critical,True,True,True,False,True,True,False,False,False,True,False,False,1
25,PhD,6,7.3,6.9,6.8,8.0,55920,2,Medium,True,True,True,True,True,False,False,False,False,True,False,True,1
32,Bachelors,8,8.1,8.3,7.5,7.3,75841,1,Medium,True,False,True,True,True,True,False,False,False,True,False,False,1
36,Masters,8,6.8,6.5,7.4,6.9,35559,1,High,True,True,False,False,False,False,False,False,False,True,True,False,1
37,Bachelors,9,6.8,7.0,7.9,6.8,53494,3,Critical,True,True,False,False,True,False,False,False,False,True,False,True,1
33,Bachelors,7,6.9,8.0,8.1,7.7,54199,2,Medium,True,False,True,False,True,False,False,False,False,True,True,False,1
35,PhD,7,6.8,8.1,7.2,8.3,34621,2,High,True,True,True,True,False,True,False,False,False,True,True,False,1
26,PhD,9,8.0,8.3,8.2,7.7,68963,2,Medium,True,False,False,False,False,True,False,False,False,True,True,True,1
31,PhD,7,8.2,7.6,7.7,8.0,37595,2,Medium,True,True,True,True,False,True,False,False,False,True,True,False,1
30,Masters,7,7.2,7.4,6.9,8.2,39222,1,Critical,True,False,True,True,False,True,False,False,False,True,False,False,1
33,Masters,5,7.2,7.9,7.0,7.5,48678,2,Medium,True,False,True,False,True,False,False,False,False,True,False,False,1
35,Masters,9,8.2,6.7,8.2,7.0,72829,3,Critical,True,False,True,True,False,False,False,False,False,True,False,False,1
34,Masters,7,8.1,7.6,7.3,7.1,48982,2,Medium,True,True,True,False,True,False,False,False,False,True,True,False,1
37,Bachelors,4,7.6,8.3,7.7,7.2,69643,3,High,True,True,False,True,True,True,False,False,False,True,True,False,1
25,Masters,8,6.7,8.5,7.4,7.7,72298,2,Medium,True,True,True,False,True,True,False,False,False,True,True,False,1
29,PhD,8,6.5,8.0,7.2,6.6,41239,2,Critical,True,False,False,True,False,True,False,False,False,True,True,False,1
30,Bachelors,5,7.4,7.6,6.9,6.9,69386,1,Critical,True,False,False,False,False,True,False,False,False,True,True,False,1
25,Bachelors,8,7.6,8.5,7.4,7.7,46609,3,Critical,True,False,False,False,False,False,False,False,False,True,True,False,1
28,Bachelors,3,7.4,7.0,7.4,8.1,33415,1,High,True,True,False,True,True,True,False,True,False,True,False,False,1
26,PhD,9,8.0,7.5,7.7,8.3,68610,1,Medium,True,False,False,False,True,False,False,False,False,True,True,False,1
25,PhD,3,8.4,8.2,6.6,7.7,49655,1,High,True,False,True,True,True,False,False,False,False,True,False,False,1
30,PhD,5,7.7,7.7,7.7,7.6,38110,3,High,True,False,True,False,False,True,False,True,False,True,False,True,1
30,Bachelors,3,6.9,6.8,6.9,8.3,57227,1,Critical,True,True,False,False,False,True,False,False,False,True,True,False,1
31,Masters,6,8.2,8.5,7.6,8.5,32278,2,Medium,True,False,False,False,True,True,False,True,False,True,False,False,1
32,Bachelors,8,7.1,6.7,6.8,7.9,61762,3,Critical,True,False,True,False,False,False,False,False,False,True,True,False,1
34,Masters,9,6.7,7.0,8.4,8.3,61882,3,Medium,True,False,False,True,True,False,False,False,False,True,False,False,1
36,Masters,4,8.5,7.3,6.5,8.5,25459,1,Medium,True,True,True,True,True,False,False,False,False,True,True,True,1
30,PhD,7,6.9,8.2,7.6,8.2,36294,3,High,True,False,True,False,False,False,False,False,False,True,False,False,1
35,Bachelors,8,7.2,7.9,7.1,7.6,74083,3,Medium,True,True,True,False,True,False,False,False,False,True,True,True,1
31,Bachelors,9,7.5,6.9,7.5,8.3,75296,3,Critical,True,True,True,False,True,False,False,False,False,True,True,False,1
26,Bachelors,8,7.6,7.8,6.8,7.4,67924,3,Medium,True,False,True,False,False,True,False,False,False,True,False,False,1
25,Masters,9,7.6,7.6,6.9,7.0,51952,1,Critical,True,True,True,True,False,True,False,False,False,True,False,False,1
37,Bachelors,7,8.2,7.9,6.8,7.1,59720,1,Medium,True,True,True,True,False,False,False,False,False,True,False,False,1
35,PhD,8,8.2,7.3,7.4,7.7,73212,2,Medium,True,False,False,False,False,True,False,False,False,True,True,False,1
28,PhD,5,8.4,8.4,8.2,7.9,50739,2,Critical,True,True,True,False,True,True,False,False,False,True,False,False,1
33,Bachelors,4,7.3,7.3,6.9,6.6,79532,1,High,True,True,False,True,False,False,False,False,False,True,False,True,1
37,Masters,6,8.4,8.0,7.8,7.8,47148,3,Medium,True,True,False,False,False,False,False,False,False,True,True,True,1
29,Masters,9,6.6,8.5,8.3,7.6,54627,3,Critical,True,True,False,False,False,True,False,False,False,True,True,False,1
25,PhD,3,6.7,6.9,7.8,7.4,75810,3,High,True,True,False,True,False,True,False,False,False,True,False,False,1
29,Bachelors,5,8.4,6.8,6.7,8.4,34421,1,Medium,True,False,False,True,True,True,False,False,False,True,False,False,1
29,Masters,3,6.6,6.8,7.5,7.0,76563,1,Medium,True,False,True,False,False,False,False,False,False,True,False,False,1
34,Masters,5,7.1,7.2,6.5,8.1,40173,3,Medium,True,True,True,False,False,False,False,False,False,True,False,True,1
25,PhD,6,7.4,8.3,8.2,8.3,34950,2,Medium,True,False,True,True,True,False,False,False,False,True,True,False,1
37,Bachelors,5,8.4,8.2,7.4,7.9,35164,1,High,True,True,False,False,False,False,False,False,False,True,False,False,1
37,Bachelors,4,8.3,7.0,7.2,7.2,59765,1,Medium,True,True,False,False,False,True,False,False,False,True,False,False,1
29,PhD,9,7.4,6.9,6.8,6.5,41049,3,Medium,True,False,True,True,True,False,False,False,False,True,True,True,1
36,Bachelors,5,8.4,7.4,8.4,6.5,64962,2,High,True,True,True,True,True,False,False,False,False,True,False,False,1
37,Bachelors,9,6.9,6.8,7.3,7.0,33567,1,Critical,True,True,False,False,True,False,False,False,False,True,False,False,1
31,Bachelors,4,7.8,6.7,6.8,8.4,61284,2,Medium,True,False,False,False,False,True,False,False,False,True,False,True,1
37,PhD,5,7.4,8.3,8.5,6.7,45900,2,High,True,False,True,False,False,True,False,False,False,True,True,True,1
27,PhD,5,6.9,8.4,8.4,8.0,42162,1,Medium,True,False,True,True,True,True,False,False,False,True,True,False,1
25,Bachelors,7,8.3,7.8,8.3,7.5,53414,2,High,True,True,False,False,True,False,False,False,False,True,True,True,1
27,Bachelors,9,7.0,8.2,8.0,7.7,39234,1,Medium,True,False,False,True,True,True,False,False,False,False,False,True,1
32,PhD,8,6.8,7.7,6.7,6.7,60191,3,Critical,True,True,False,False,False,True,False,False,False,True,False,False,1
31,PhD,7,7.3,6.5,8.4,7.6,49976,3,Critical,True,False,False,True,False,False,False,False,False,True,True,False,1
25,Masters,3,8.2,8.0,8.0,6.6,69147,3,Medium,True,False,True,False,False,True,False,False,False,True,True,False,1
33,PhD,7,8.2,8.0,7.6,7.4,57819,3,Critical,True,False,False,True,True,False,False,False,False,True,True,False,1
32,Masters,6,7.1,7.7,6.7,7.1,56994,3,High,True,False,False,True,False,True,False,False,False,True,True,False,1
30,Masters,5,8.4,8.1,7.0,6.8,47939,2,Medium,True,True,True,True,True,False,False,True,False,True,True,True,1
33,PhD,7,7.8,7.3,8.1,8.0,41270,2,Medium,True,False,False,False,True,False,False,False,False,True,False,False,1
35,Masters,7,7.9,7.9,7.6,6.9,63998,1,Medium,True,True,False,False,True,False,False,False,False,True,False,False,1
